# EASEL=@xsyetopz/easel@0.7.0	THREE=three@0.185.1	entry=src/Three.Core.js
# columns: state	subject	kind	EASEL	THREE
# state: = both; < EASEL-only; > THREE-only; ! same name but different public shape; EASEL limits: CPU/Canvas2D; affine UV; baked flat/Gouraud; no GPU/shader/PBR/shadow/environment-map surface; limits do not describe THREE core
!	Audio.disconnect	method	instance () => this | undefined	instance () => Audio|undefined
!	Audio.duration	field	instance rw number | undefined	instance rw undefined|number
!	Audio.filters	field	instance rw AudioNodeLike[]	instance ro Array<AudioNode>
<	Audio.firstFilter	accessor	instance r AudioNodeLike | undefined	-
!	Audio.gain	field	instance ro AudioNodeLike | undefined	instance ro GainNode
>	Audio.getDetune	method	-	instance () => number
>	Audio.getFilter	method	-	instance () => AudioNode|undefined
>	Audio.getFilters	method	-	instance () => Array<AudioNode>
>	Audio.getLoop	method	-	instance () => boolean
>	Audio.getOutput	method	-	instance () => GainNode
>	Audio.getPlaybackRate	method	-	instance () => number
>	Audio.getVolume	method	-	instance () => number
!	Audio.hasPlaybackControl	field	instance rw boolean	instance ro boolean
!	Audio.isPlaying	field	instance rw boolean	instance ro boolean
=	Audio.listener	field	instance ro AudioListener	instance ro AudioListener
!	Audio.loop	field	instance rw boolean	instance ro boolean
=	Audio.loopEnd	field	instance rw number	instance rw number
=	Audio.loopStart	field	instance rw number	instance rw number
=	Audio.offset	field	instance rw number	instance rw number
=	Audio.onEnded	method	instance () => void	instance () => void
<	Audio.output	accessor	instance r AudioNodeLike | undefined	-
